0.308556,0.108857,0.044630,0.038406,0.029614,0.176710,0.044761,0.176723,0.035865,0.035878
0.049165,0.767939,0.007636,0.006254,0.005674,0.071786,0.007657,0.071775,0.006384,0.005730
0.084785,0.242942,0.025093,0.020888,0.016495,0.272551,0.025195,0.272525,0.021959,0.017566
0.062373,0.065030,0.108054,0.251084,0.070300,0.072200,0.107610,0.072201,0.080065,0.111082
0.062373,0.065030,0.108054,0.251084,0.070300,0.072200,0.107610,0.072201,0.080065,0.111082
0.005348,0.005038,0.178178,0.316418,0.004695,0.011845,0.174762,0.011846,0.148805,0.143066
0.007260,0.007395,0.189055,0.171043,0.007761,0.014310,0.188854,0.014311,0.228034,0.171977
0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.011151,0.012384,0.203974,0.186845,0.013220,0.024967,0.201218,0.024969,0.045504,0.275768
0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.008811,0.009095,0.175457,0.191709,0.007110,0.015811,0.172668,0.015811,0.240749,0.162779
0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.129734,0.201681,0.054245,0.046779,0.069861,0.178942,0.054452,0.178945,0.043939,0.041421
0.137818,0.234540,0.018447,0.015163,0.009127,0.271106,0.018566,0.271079,0.012358,0.011798
0.017195,0.017574,0.149223,0.248622,0.018049,0.021359,0.147791,0.021359,0.079918,0.278910
0.031894,0.044047,0.061943,0.052976,0.017943,0.077722,0.061973,0.077727,0.533414,0.040362
0.020569,0.021554,0.086955,0.069757,0.017221,0.033062,0.087887,0.033063,0.586540,0.043393
0.126144,0.091914,0.030428,0.028492,0.102739,0.273058,0.030578,0.273086,0.022958,0.020603
0.004534,0.004898,0.208559,0.271921,0.004583,0.009288,0.204989,0.009289,0.062769,0.219169
0.018511,0.084861,0.017619,0.015027,0.003319,0.412519,0.017754,0.412509,0.008659,0.009223
