0.274906,0.036465,0.097497,0.033976,0.155133,0.155161,0.032406,0.032243,0.027106,0.155108
0.041191,0.005891,0.764187,0.005313,0.055497,0.057276,0.004995,0.005546,0.005037,0.055065
0.073012,0.019594,0.210997,0.018146,0.207994,0.213392,0.015732,0.019520,0.014948,0.206665
0.065506,0.115446,0.068297,0.235353,0.079707,0.079396,0.116703,0.085668,0.074140,0.079785
0.065506,0.115446,0.068297,0.235353,0.079707,0.079396,0.116703,0.085668,0.074140,0.079785
0.006036,0.212261,0.005573,0.362077,0.018671,0.018214,0.165246,0.187735,0.005401,0.018787
0.008106,0.234811,0.008170,0.206657,0.022109,0.021607,0.189812,0.277740,0.008750,0.022237
0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.012631,0.246938,0.013896,0.225320,0.037551,0.036751,0.317928,0.055938,0.015292,0.037755
0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.009650,0.207166,0.009821,0.227075,0.022903,0.022486,0.180335,0.289648,0.007907,0.023009
0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.112384,0.042171,0.177382,0.039776,0.164434,0.164423,0.036038,0.038517,0.060442,0.164433
0.117655,0.013705,0.200514,0.012790,0.207215,0.212809,0.010390,0.010910,0.008172,0.205841
0.018677,0.186020,0.019119,0.272656,0.027549,0.027237,0.308719,0.092681,0.019712,0.027629
0.032815,0.059066,0.045239,0.054749,0.084971,0.084399,0.041568,0.493373,0.018709,0.085108
0.022775,0.085446,0.023726,0.078283,0.045537,0.044864,0.047968,0.586740,0.018952,0.045708
0.103362,0.021810,0.075633,0.022552,0.217437,0.217590,0.017350,0.019292,0.087626,0.217349
0.005082,0.271169,0.005488,0.335633,0.014707,0.014350,0.253945,0.079568,0.005259,0.014798
0.014865,0.011504,0.065649,0.011708,0.291651,0.296266,0.007703,0.007379,0.002840,0.290434
0.103072,0.092121,0.086167,0.087705,0.104648,0.104389,0.080702,0.081715,0.154769,0.104713
0.055759,0.038920,0.107290,0.040527,0.221435,0.221656,0.026997,0.037523,0.028532,0.221361
0.018705,0.233848,0.018272,0.186599,0.028495,0.028140,0.342326,0.097104,0.017926,0.028585
0.009694,0.172598,0.010904,0.162075,0.021798,0.021478,0.513473,0.058154,0.007946,0.021879
0.030400,0.187916,0.029534,0.107002,0.037400,0.037040,0.407342,0.097756,0.028117,0.037492
0.125138,0.078813,0.105602,0.068284,0.147381,0.147334,0.070765,0.064080,0.045216,0.147388
0.013869,0.273834,0.014228,0.229454,0.022546,0.022238,0.295105,0.091664,0.014436,0.022625
0.056514,0.078073,0.067682,0.064191,0.184564,0.182257,0.071825,0.065682,0.044092,0.185122
0.054416,0.117873,0.060629,0.149528,0.114265,0.113651,0.103226,0.135370,0.036627,0.114416
0.029032,0.040877,0.067366,0.031090,0.246125,0.247138,0.029654,0.028050,0.034830,0.245838
0.044578,0.003654,0.680635,0.003046,0.085517,0.089291,0.002621,0.003399,0.002653,0.084607
0.085762,0.012757,0.631132,0.012127,0.072848,0.075888,0.010214,0.015732,0.011417,0.072122
0.011742,0.328531,0.012367,0.191872,0.018943,0.018672,0.293715,0.092571,0.012575,0.019012
0.030674,0.027810,0.085615,0.028007,0.256882,0.258415,0.017546,0.027652,0.010937,0.256462
0.000001,0.000001,0.000001,0.000001,0.000002,0.000002,0.000001,0.000001,0.999987,0.000002
0.011939,0.283263,0.014027,0.216853,0.044175,0.043148,0.252691,0.073287,0.016182,0.044436
0.014621,0.257650,0.016009,0.157835,0.037862,0.037214,0.291806,0.133172,0.015804,0.038027
0.009422,0.135463,0.012096,0.142628,0.034839,0.034204,0.076725,0.509391,0.010231,0.035000
0.084095,0.009208,0.123466,0.009075,0.248744,0.258242,0.006537,0.008213,0.005992,0.246428
0.020886,0.205193,0.026868,0.148934,0.105102,0.102678,0.188716,0.073395,0.022515,0.105714
0.005892,0.145322,0.006500,0.674810,0.016648,0.016281,0.066443,0.045946,0.005418,0.016741
0.009784,0.014100,0.009268,0.012288,0.014074,0.013966,0.012208,0.010846,0.889365,0.014101
0.025755,0.134451,0.040357,0.081655,0.188816,0.185399,0.076257,0.057876,0.019771,0.189663
0.006901,0.156709,0.007569,0.166068,0.026302,0.025659,0.090665,0.487558,0.006104,0.026466
0.029888,0.225875,0.028514,0.159526,0.052928,0.052182,0.247936,0.114954,0.035079,0.053118
0.010979,0.257176,0.012601,0.181020,0.023415,0.023042,0.388890,0.067592,0.011774,0.023511
0.036620,0.182892,0.046280,0.161327,0.111021,0.109582,0.112657,0.098687,0.029554,0.111380
0.011914,0.237623,0.013254,0.119528,0.028054,0.027576,0.413654,0.099105,0.021117,0.028175
0.094028,0.073788,0.163080,0.069365,0.152753,0.154452,0.057597,0.057001,0.025599,0.152339
0.004481,0.201034,0.005481,0.102577,0.014946,0.014604,0.531298,0.104120,0.006425,0.015034
