0.038406,0.176713,0.035878,0.044627,0.044765,0.308556,0.176720,0.035865,0.108857,0.029614
0.006254,0.071784,0.005730,0.007635,0.007658,0.049165,0.071777,0.006384,0.767939,0.005674
0.020888,0.272546,0.017566,0.025091,0.025198,0.084785,0.272530,0.021959,0.242941,0.016495
0.251085,0.072200,0.111083,0.108065,0.107598,0.062373,0.072201,0.080065,0.065030,0.070300
0.251085,0.072200,0.111083,0.108065,0.107598,0.062373,0.072201,0.080065,0.065030,0.070300
0.316421,0.011845,0.143067,0.178261,0.174675,0.005347,0.011846,0.148805,0.005038,0.004695
0.171043,0.014310,0.171975,0.189060,0.188849,0.007260,0.014311,0.228036,0.007395,0.007761
0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.186845,0.024967,0.275772,0.204041,0.201147,0.011151,0.024968,0.045504,0.012384,0.013220
0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.191710,0.015811,0.162779,0.175525,0.172597,0.008811,0.015811,0.240750,0.009095,0.007110
0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.046779,0.178943,0.041421,0.054240,0.054458,0.129734,0.178944,0.043939,0.201681,0.069861
0.015163,0.271101,0.011798,0.018444,0.018569,0.137818,0.271084,0.012358,0.234540,0.009127
0.248623,0.021359,0.278910,0.149259,0.147754,0.017195,0.021359,0.079918,0.017574,0.018049
0.052976,0.077723,0.040362,0.061942,0.061974,0.031894,0.077726,0.533413,0.044047,0.017943
0.069757,0.033062,0.043393,0.086932,0.087911,0.020569,0.033063,0.586537,0.021554,0.017221
0.028492,0.273064,0.020603,0.030424,0.030582,0.126144,0.273081,0.022958,0.091914,0.102739
0.271923,0.009288,0.219171,0.208647,0.204898,0.004534,0.009288,0.062770,0.004898,0.004583
0.015027,0.412517,0.009223,0.017615,0.017757,0.018511,0.412511,0.008659,0.084861,0.003319
0.089190,0.101784,0.081991,0.096956,0.097266,0.104389,0.101784,0.082733,0.087434,0.156474
0.051542,0.259693,0.032698,0.056580,0.056950,0.069294,0.259693,0.044887,0.134546,0.034117
0.154575,0.021017,0.310168,0.181365,0.179466,0.016923,0.021017,0.082742,0.016586,0.016141
0.137372,0.016270,0.478767,0.139170,0.136653,0.008974,0.016270,0.049105,0.010148,0.007271
0.087315,0.029269,0.379055,0.155490,0.153497,0.027670,0.029270,0.086010,0.026845,0.025580
0.074275,0.146859,0.077015,0.092906,0.093100,0.135577,0.146858,0.069082,0.115809,0.048519
0.182742,0.016817,0.263499,0.203893,0.201089,0.012735,0.016817,0.076214,0.013064,0.013132
0.071914,0.193645,0.080997,0.097943,0.098299,0.063459,0.193654,0.073475,0.077615,0.048999
0.153685,0.103724,0.103301,0.124504,0.124394,0.054374,0.103726,0.134887,0.061266,0.036139
0.037560,0.307390,0.035734,0.058287,0.058641,0.035448,0.307390,0.033450,0.085133,0.040967
0.003393,0.112751,0.002841,0.004779,0.004814,0.051241,0.112737,0.003721,0.700892,0.002830
0.013017,0.089055,0.010862,0.014982,0.015032,0.093596,0.089043,0.016878,0.645555,0.011978
0.147336,0.014023,0.264671,0.226733,0.223250,0.010820,0.014023,0.076370,0.011329,0.011444
0.036108,0.329069,0.021567,0.042626,0.042907,0.038989,0.329069,0.034005,0.112397,0.013264
0.000001,0.000002,0.000001,0.000002,0.000002,0.000001,0.000002,0.000001,0.000001,0.999988
0.160644,0.027012,0.208258,0.243364,0.241405,0.010190,0.027013,0.056509,0.012120,0.013486
0.122360,0.025891,0.255184,0.210333,0.207683,0.012902,0.025892,0.111704,0.014319,0.013733
0.123723,0.023450,0.068353,0.136125,0.135642,0.008560,0.023450,0.460408,0.011123,0.009166
0.010614,0.348218,0.007200,0.012400,0.012483,0.095729,0.348186,0.009041,0.149636,0.006493
0.133904,0.073339,0.176157,0.207320,0.206589,0.019554,0.073342,0.063976,0.025454,0.020365
0.646009,0.010420,0.053369,0.113856,0.116227,0.004990,0.010420,0.034629,0.005565,0.004514
0.012278,0.012641,0.012292,0.015044,0.015077,0.009730,0.012642,0.010814,0.009321,0.890161
0.083994,0.170802,0.081883,0.166229,0.171041,0.028457,0.170811,0.060433,0.045317,0.021033
0.139981,0.016469,0.079817,0.154459,0.153349,0.006172,0.016470,0.421048,0.006879,0.005355
0.130579,0.038420,0.223171,0.194399,0.193794,0.026700,0.038421,0.097866,0.025643,0.031007
0.139483,0.016252,0.337265,0.203393,0.200284,0.009825,0.016252,0.055545,0.011278,0.010421
0.149156,0.086469,0.104358,0.187220,0.189872,0.034958,0.086470,0.089445,0.044454,0.027599
0.090961,0.019715,0.373098,0.187093,0.184768,0.010719,0.019715,0.083276,0.011962,0.018693
0.076453,0.157273,0.062518,0.088346,0.088367,0.103361,0.157266,0.061196,0.177677,0.027544
0.077521,0.009602,0.486459,0.159006,0.156122,0.004021,0.009602,0.087110,0.004934,0.005623
0.105094,0.009445,0.359534,0.213756,0.211219,0.003469,0.009445,0.080690,0.004076,0.003272
0.048092,0.266868,0.036244,0.063167,0.063595,0.093334,0.266877,0.044232,0.095483,0.022107
0.028942,0.071319,0.016354,0.031307,0.031350,0.420078,0.071317,0.272462,0.048966,0.007904
0.125277,0.109490,0.086518,0.131213,0.132155,0.082779,0.109492,0.104918,0.066282,0.051877
0.119946,0.037772,0.188937,0.200849,0.199958,0.026798,0.037772,0.124934,0.031515,0.031520
0.176132,0.043391,0.162086,0.217505,0.217057,0.024263,0.043393,0.075880,0.023037,0.017256
0.130497,0.020810,0.377880,0.187300,0.184767,0.009160,0.020810,0.047459,0.010677,0.010640
0.014549,0.112958,0.013522,0.017243,0.017308,0.584178,0.112956,0.015080,0.098621,0.013585
0.101803,0.104172,0.092577,0.109715,0.109917,0.086742,0.104172,0.107633,0.093693,0.089577
0.075724,0.142169,0.066481,0.094250,0.094719,0.097904,0.142170,0.071015,0.092376,0.123193
0.033542,0.240643,0.036376,0.050622,0.050789,0.065734,0.240630,0.032485,0.229275,0.019903
0.197785,0.024602,0.097863,0.285541,0.292150,0.008948,0.024603,0.048261,0.010905,0.009343
