doc_id,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9
0,0.099999999881,0.100000000110,0.100000000045,0.100000000140,0.100000000087,0.100000000054,0.099999999963,0.099999999752,0.100000000134,0.099999999835
1,0.099999999789,0.100000000194,0.100000000079,0.100000000248,0.100000000154,0.100000000096,0.099999999935,0.099999999561,0.100000000237,0.099999999707
2,0.099999999834,0.100000000153,0.100000000062,0.100000000195,0.100000000121,0.100000000076,0.099999999948,0.099999999654,0.100000000187,0.099999999769
3,0.100000000029,0.099999999974,0.099999999989,0.099999999966,0.099999999979,0.099999999987,0.100000000009,0.100000000060,0.099999999967,0.100000000040
4,0.100000000029,0.099999999974,0.099999999989,0.099999999966,0.099999999979,0.099999999987,0.100000000009,0.100000000060,0.099999999967,0.100000000040
5,0.100000000203,0.099999999812,0.099999999924,0.099999999761,0.099999999851,0.099999999907,0.100000000063,0.100000000424,0.099999999772,0.100000000283
6,0.100000000188,0.099999999826,0.099999999929,0.099999999779,0.099999999862,0.099999999914,0.100000000058,0.100000000393,0.099999999789,0.100000000262
7,0.099999999675,0.100000000307,0.100000000123,0.100000000379,0.100000000244,0.100000000148,0.099999999904,0.099999999313,0.100000000361,0.099999999547
8,0.100000000139,0.099999999872,0.099999999948,0.099999999836,0.099999999898,0.099999999936,0.100000000043,0.100000000290,0.099999999843,0.100000000194
9,0.099999999675,0.100000000307,0.100000000123,0.100000000379,0.100000000244,0.100000000148,0.099999999904,0.099999999313,0.100000000361,0.099999999547
10,0.100000000182,0.099999999832,0.099999999932,0.099999999786,0.099999999867,0.099999999917,0.100000000056,0.100000000379,0.099999999796,0.100000000253
11,0.099999999675,0.100000000307,0.100000000123,0.100000000379,0.100000000244,0.100000000148,0.099999999904,0.099999999313,0.100000000361,0.099999999547
12,0.099999999889,0.100000000103,0.100000000042,0.100000000131,0.100000000081,0.100000000051,0.099999999966,0.099999999768,0.100000000125,0.099999999845
13,0.099999999806,0.100000000178,0.100000000073,0.100000000228,0.100000000141,0.100000000088,0.099999999940,0.099999999597,0.100000000218,0.099999999731
14,0.100000000145,0.099999999867,0.099999999946,0.099999999830,0.099999999894,0.099999999934,0.100000000045,0.100000000302,0.099999999837,0.100000000201
15,0.100000000021,0.099999999981,0.099999999992,0.099999999975,0.099999999985,0.099999999990,0.100000000006,0.100000000044,0.099999999977,0.100000000029
16,0.100000000078,0.099999999928,0.099999999971,0.099999999908,0.099999999943,0.099999999964,0.100000000024,0.100000000163,0.099999999912,0.100000000109
17,0.099999999854,0.100000000135,0.100000000055,0.100000000172,0.100000000107,0.100000000067,0.099999999955,0.099999999696,0.100000000164,0.099999999797
18,0.100000000210,0.099999999806,0.099999999921,0.099999999753,0.099999999846,0.099999999904,0.100000000065,0.100000000438,0.099999999764,0.100000000292
19,0.099999999853,0.100000000135,0.100000000055,0.100000000173,0.100000000107,0.100000000067,0.099999999954,0.099999999694,0.100000000166,0.099999999796
20,0.099999999973,0.100000000025,0.100000000010,0.100000000031,0.100000000020,0.100000000012,0.099999999992,0.099999999944,0.100000000030,0.099999999963
21,0.099999999903,0.100000000089,0.100000000036,0.100000000114,0.100000000071,0.100000000044,0.099999999970,0.099999999798,0.100000000109,0.099999999866
22,0.100000000144,0.099999999867,0.099999999946,0.099999999830,0.099999999895,0.099999999934,0.100000000045,0.100000000300,0.099999999838,0.100000000200
23,0.100000000165,0.099999999848,0.099999999938,0.099999999806,0.099999999879,0.099999999925,0.100000000051,0.100000000344,0.099999999815,0.100000000229
24,0.100000000108,0.099999999901,0.099999999959,0.099999999873,0.099999999921,0.099999999951,0.100000000033,0.100000000225,0.099999999879,0.100000000150
25,0.099999999946,0.100000000050,0.100000000020,0.100000000064,0.100000000040,0.100000000025,0.099999999983,0.099999999886,0.100000000061,0.099999999924
26,0.100000000166,0.099999999847,0.099999999937,0.099999999804,0.099999999879,0.099999999924,0.100000000052,0.100000000347,0.099999999813,0.100000000231
27,0.099999999967,0.100000000030,0.100000000012,0.100000000038,0.100000000024,0.100000000015,0.099999999990,0.099999999932,0.100000000037,0.099999999955
28,0.100000000022,0.099999999979,0.099999999992,0.099999999974,0.099999999984,0.099999999990,0.100000000007,0.100000000047,0.099999999975,0.100000000031
29,0.099999999916,0.100000000077,0.100000000032,0.100000000099,0.100000000061,0.100000000038,0.099999999974,0.099999999825,0.100000000094,0.099999999883
30,0.099999999747,0.100000000233,0.100000000095,0.100000000298,0.100000000184,0.100000000116,0.099999999921,0.099999999473,0.100000000285,0.099999999648
31,0.099999999815,0.100000000170,0.100000000069,0.100000000218,0.100000000135,0.100000000084,0.099999999942,0.099999999615,0.100000000208,0.099999999743
32,0.100000000177,0.099999999837,0.099999999933,0.099999999791,0.099999999871,0.099999999919,0.100000000055,0.100000000369,0.099999999801,0.100000000246
33,0.099999999893,0.100000000098,0.100000000040,0.100000000126,0.100000000078,0.100000000049,0.099999999967,0.099999999778,0.100000000120,0.099999999852
34,0.099999999952,0.100000000045,0.100000000018,0.100000000056,0.100000000037,0.100000000022,0.099999999986,0.099999999898,0.100000000053,0.099999999933
35,0.100000000140,0.099999999871,0.099999999947,0.099999999835,0.099999999898,0.099999999936,0.100000000043,0.100000000292,0.099999999843,0.100000000194
36,0.100000000142,0.099999999869,0.099999999947,0.099999999833,0.099999999896,0.099999999935,0.100000000044,0.100000000296,0.099999999840,0.100000000197
