doc_id,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9
0,0.108857158702,0.044595741444,0.176716147205,0.044795131259,0.035877889787,0.035864739269,0.029613848872,0.038406447695,0.308556160511,0.176716735257
1,0.767938922435,0.007630077502,0.071780871209,0.007662589913,0.005730260447,0.006383740799,0.005673721585,0.006254371343,0.049165069383,0.071780375384
2,0.242941682692,0.025066454256,0.272539104196,0.025221069469,0.017566152861,0.021959222106,0.016495090873,0.020888407735,0.084784959320,0.272537856492
3,0.065029760937,0.108169948044,0.072200405151,0.107492476125,0.111080740109,0.080065129044,0.070300280380,0.251087968985,0.062372849284,0.072200441941
4,0.065029760937,0.108169948044,0.072200405151,0.107492476125,0.111080740109,0.080065129044,0.070300280380,0.251087968985,0.062372849284,0.072200441941
5,0.005038368778,0.179057706596,0.011845152612,0.173857492952,0.143068686976,0.148804034928,0.004694919783,0.316440987573,0.005347455764,0.011845194038
6,0.007395306562,0.189103535970,0.014310700624,0.188799125056,0.171979850109,0.228034667225,0.007761012580,0.171044494593,0.007260567240,0.014310740041
7,0.100000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000
8,0.012384177432,0.204691399369,0.024967875395,0.200494566980,0.275768385234,0.045504333709,0.013220336608,0.186849675629,0.011151298573,0.024967951070
9,0.100000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000
10,0.009095222970,0.176177435639,0.015811023938,0.171932107173,0.162782278328,0.240751481040,0.007110176420,0.191718013732,0.008811206657,0.015811054104
11,0.100000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000,0.100000000000
12,0.201681278932,0.054190411936,0.178943698280,0.054505887249,0.041421070317,0.043938836152,0.069861563696,0.046778909926,0.129734539421,0.178943804090
13,0.234540205331,0.018415238003,0.271093024215,0.018596450118,0.011797792647,0.012358204704,0.009126846058,0.015162717365,0.137817795145,0.271091726413
14,0.017573861196,0.149595238620,0.021358881602,0.147414631268,0.278910239665,0.079917679899,0.018049432468,0.248626084750,0.017195046026,0.021358904508
15,0.044046820727,0.061933181205,0.077724788453,0.061979060420,0.040362943871,0.533414596609,0.017942943354,0.052976762095,0.031893900199,0.077725003066
16,0.021554369919,0.086712370090,0.033062171237,0.088131583276,0.043393383609,0.586538051225,0.017220931448,0.069755535921,0.020569380987,0.033062222288
17,0.091913768762,0.030388559084,0.273071672432,0.030616254290,0.020603601648,0.022957799864,0.102738965047,0.028492165253,0.126144185429,0.273073028190
